"Survived","Pclass","Sex","Age","Embarked","Fare_unit","Alone"
"No Surv","3rd","male",2,"Queenstown",4.85416666666667,"In company"
"Surv","2nd","male",34,"Southampton",13,"Alone"
"No Surv","3rd","female",31,"Southampton",9,"In company"
"Surv","3rd","female",18,"Cherbourg",7.225,"Alone"
"No Surv","2nd","male",35,"Southampton",13,"Alone"
"Surv","2nd","male",34,"Southampton",13,"Alone"
"Surv","3rd","female",15,"Queenstown",8.0292,"Alone"
"Surv","1st","male",28,"Southampton",35.5,"Alone"
"No Surv","3rd","female",8,"Southampton",4.215,"In company"
"Surv","3rd","female",38,"Southampton",4.48392857142857,"In company"
"No Surv","3rd","male",22.5,"Cherbourg",7.225,"Alone"
"No Surv","1st","male",19,"Southampton",43.8333333333333,"In company"
"Surv","3rd","female",19,"Queenstown",7.8792,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","1st","male",40,"Cherbourg",27.7208,"Alone"
"Surv","1st","female",26,"Cherbourg",48.8402666666667,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","2nd","male",66,"Southampton",10.5,"Alone"
"No Surv","1st","male",28,"Cherbourg",41.0854,"In company"
"No Surv","1st","male",42,"Southampton",26,"In company"
"Surv","3rd","male",22,"Cherbourg",7.2292,"Alone"
"No Surv","3rd","male",21,"Southampton",8.05,"Alone"
"No Surv","3rd","female",18,"Southampton",9,"In company"
"Surv","3rd","female",14,"Cherbourg",5.62085,"In company"
"No Surv","3rd","female",40,"Southampton",9.475,"In company"
"No Surv","2nd","female",27,"Southampton",10.5,"In company"
"No Surv","3rd","male",33,"Cherbourg",7.8958,"Alone"
"Surv","2nd","female",3,"Cherbourg",10.3948,"In company"
"Surv","3rd","female",19,"Queenstown",7.8792,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","3rd","male",34.5,"Queenstown",7.75,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",26,"Cherbourg",7.2264,"In company"
"No Surv","3rd","female",18,"Southampton",8.9,"In company"
"No Surv","3rd","male",7,"Southampton",5.66964285714286,"In company"
"No Surv","3rd","male",21,"Southampton",7.8,"Alone"
"Surv","1st","female",49,"Cherbourg",25.5764,"In company"
"Surv","2nd","female",29,"Southampton",13,"In company"
"No Surv","1st","male",65,"Cherbourg",30.9896,"In company"
"Surv","1st","male",28,"Southampton",35.5,"Alone"
"Surv","2nd","female",21,"Southampton",10.5,"Alone"
"No Surv","3rd","male",28.5,"Cherbourg",7.2292,"Alone"
"Surv","2nd","female",5,"Southampton",6.9375,"In company"
"No Surv","3rd","male",11,"Southampton",5.8625,"In company"
"No Surv","3rd","male",22,"Cherbourg",7.2292,"Alone"
"Surv","1st","female",38,"Southampton",40,"Alone"
"No Surv","1st","male",45,"Southampton",41.7375,"In company"
"No Surv","3rd","male",4,"Southampton",4.65,"In company"
"No Surv","1st","male",30,"Cherbourg",27.7208,"Alone"
"Surv","3rd","male",12,"Cherbourg",5.08193333333333,"In company"
"Surv","2nd","female",29,"Southampton",10.5,"Alone"
"No Surv","3rd","male",19,"Southampton",8.1583,"Alone"
"Surv","3rd","female",17,"Southampton",7.925,"In company"
"No Surv","3rd","male",26,"Southampton",8.6625,"In company"
"No Surv","2nd","male",32,"Southampton",10.5,"Alone"
"No Surv","3rd","female",16,"Southampton",5.8625,"In company"
"No Surv","2nd","male",21,"Southampton",10.5,"Alone"
"No Surv","3rd","male",26,"Cherbourg",7.2271,"In company"
"Surv","3rd","male",32,"Southampton",7.061975,"Alone"
"No Surv","3rd","male",25,"Southampton",7.65,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","2nd","male",0.83,"Southampton",9.66666666666667,"In company"
"Surv","3rd","female",30,"Southampton",6.2375,"Alone"
"No Surv","3rd","male",22,"Southampton",9,"Alone"
"Surv","3rd","male",29,"Southampton",9.5,"Alone"
"Surv","3rd","female",24,"Queenstown",7.7875,"Alone"
"No Surv","1st","male",28,"Southampton",23.55,"Alone"
"Surv","2nd","female",17,"Southampton",10.5,"Alone"
"Surv","3rd","female",33,"Southampton",7.925,"In company"
"No Surv","3rd","male",16,"Southampton",6.875,"In company"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","1st","female",23,"Southampton",43.8333333333333,"In company"
"No Surv","3rd","male",24,"Southampton",8.05,"Alone"
"No Surv","3rd","male",29,"Southampton",8.05,"Alone"
"No Surv","3rd","male",20,"Southampton",7.8542,"Alone"
"No Surv","1st","male",46,"Southampton",30.5875,"In company"
"No Surv","3rd","male",26,"Southampton",5.14375,"In company"
"No Surv","3rd","male",59,"Southampton",7.25,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","1st","male",71,"Cherbourg",34.6542,"Alone"
"Surv","1st","male",23,"Cherbourg",31.67915,"In company"
"Surv","2nd","female",34,"Southampton",11.5,"In company"
"No Surv","2nd","male",34,"Southampton",13,"In company"
"No Surv","3rd","female",28,"Southampton",7.8958,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","1st","male",21,"Southampton",38.64375,"In company"
"No Surv","3rd","male",33,"Southampton",8.6542,"Alone"
"No Surv","3rd","male",37,"Southampton",7.925,"In company"
"No Surv","3rd","male",28,"Southampton",7.8958,"Alone"
"Surv","3rd","female",21,"Southampton",7.65,"Alone"
"Surv","3rd","male",27,"Southampton",7.775,"Alone"
"No Surv","3rd","male",38,"Southampton",7.8958,"Alone"
"Surv","3rd","female",18,"Queenstown",8.05,"In company"
"No Surv","1st","male",47,"Southampton",26,"Alone"
"No Surv","3rd","female",14.5,"Cherbourg",7.2271,"In company"
"No Surv","3rd","male",22,"Southampton",8.05,"Alone"
"No Surv","3rd","female",20,"Southampton",9.825,"In company"
"No Surv","3rd","female",17,"Cherbourg",7.22915,"Alone"
"No Surv","3rd","male",21,"Southampton",7.925,"Alone"
"No Surv","3rd","male",70.5,"Queenstown",7.75,"Alone"
"No Surv","2nd","male",29,"Southampton",10.5,"In company"
"No Surv","1st","male",24,"Cherbourg",82.5069333333333,"In company"
"No Surv","3rd","female",2,"Southampton",4.46785714285714,"In company"
"No Surv","2nd","male",21,"Southampton",10.5,"In company"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","2nd","male",32.5,"Cherbourg",15.0354,"In company"
"Surv","2nd","female",32.5,"Southampton",13,"Alone"
"No Surv","1st","male",54,"Southampton",38.64375,"In company"
"Surv","3rd","male",12,"Cherbourg",5.62085,"In company"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","3rd","male",24,"Southampton",7.1417,"Alone"
"Surv","3rd","female",16,"Cherbourg",7.45276666666667,"In company"
"No Surv","3rd","male",45,"Southampton",6.975,"Alone"
"No Surv","3rd","male",33,"Cherbourg",7.8958,"Alone"
"No Surv","3rd","male",20,"Southampton",7.05,"Alone"
"No Surv","3rd","female",47,"Southampton",7.25,"In company"
"Surv","2nd","female",29,"Southampton",13,"In company"
"No Surv","2nd","male",25,"Southampton",13,"Alone"
"No Surv","2nd","male",23,"Cherbourg",15.0458,"Alone"
"Surv","1st","female",19,"Southampton",26.2833,"In company"
"No Surv","1st","male",37,"Southampton",26.55,"In company"
"No Surv","3rd","male",16,"Southampton",4.60835,"Alone"
"No Surv","1st","male",24,"Cherbourg",39.6,"Alone"
"No Surv","3rd","female",18,"Cherbourg",5.08193333333333,"In company"
"Surv","3rd","female",22,"Southampton",7.75,"Alone"
"Surv","3rd","female",24,"Southampton",7.925,"In company"
"No Surv","3rd","male",19,"Queenstown",6.75,"Alone"
"No Surv","2nd","male",18,"Southampton",11.5,"Alone"
"No Surv","2nd","male",19,"Southampton",9.1875,"In company"
"Surv","3rd","male",27,"Southampton",7.7958,"Alone"
"No Surv","3rd","female",9,"Southampton",6.875,"In company"
"No Surv","2nd","male",36.5,"Southampton",8.66666666666667,"In company"
"No Surv","2nd","male",42,"Southampton",13,"Alone"
"No Surv","2nd","male",51,"Southampton",12.525,"Alone"
"Surv","1st","female",22,"Southampton",33.3,"In company"
"No Surv","3rd","male",55.5,"Southampton",8.05,"Alone"
"No Surv","3rd","male",40.5,"Southampton",4.83333333333333,"In company"
"No Surv","3rd","male",36,"Southampton",7.3125,"Alone"
"No Surv","1st","male",51,"Cherbourg",30.6896,"In company"
"Surv","3rd","female",16,"Queenstown",7.7333,"Alone"
"No Surv","3rd","male",30,"Southampton",8.05,"Alone"
"No Surv","3rd","male",24,"Southampton",8.6625,"Alone"
"No Surv","3rd","male",11,"Southampton",6.32272727272727,"In company"
"No Surv","3rd","male",44,"Southampton",8.05,"In company"
"Surv","2nd","female",40,"Southampton",7.875,"Alone"
"No Surv","3rd","male",26,"Southampton",7.775,"Alone"
"No Surv","3rd","male",17,"Southampton",8.6625,"Alone"
"No Surv","3rd","male",1,"Southampton",5.66964285714286,"In company"
"Surv","3rd","male",9,"Southampton",6.84166666666667,"In company"
"Surv","1st","female",22,"Southampton",27.5,"In company"
"No Surv","3rd","female",45,"Southampton",4.65,"In company"
"No Surv","1st","male",46,"Southampton",25.925,"Alone"
"No Surv","3rd","male",28,"Southampton",7.061975,"Alone"
"No Surv","1st","male",61,"Southampton",33.5,"Alone"
"No Surv","3rd","male",4,"Queenstown",4.85416666666667,"In company"
"Surv","3rd","female",1,"Southampton",3.7111,"In company"
"No Surv","3rd","male",21,"Southampton",7.925,"Alone"
"No Surv","1st","male",56,"Cherbourg",30.6958,"Alone"
"No Surv","3rd","male",18,"Southampton",7.8542,"In company"
"No Surv","3rd","male",6,"Southampton",5.09334,"In company"
"No Surv","1st","female",50,"Cherbourg",28.7125,"Alone"
"No Surv","2nd","male",30,"Southampton",13,"Alone"
"No Surv","3rd","male",36,"Southampton",2.165625,"Alone"
"No Surv","3rd","female",9,"Southampton",6.32272727272727,"In company"
"No Surv","2nd","male",27,"Cherbourg",15.05,"Alone"
"No Surv","3rd","male",9,"Southampton",4.48392857142857,"In company"
"Surv","2nd","male",1,"Southampton",9.75,"In company"
"Surv","3rd","female",4,"Southampton",7.34166666666667,"In company"
"No Surv","1st","male",54,"Southampton",50,"Alone"
"Surv","3rd","female",18,"Queenstown",7.75,"In company"
"Surv","1st","male",45,"Southampton",26.55,"Alone"
"No Surv","3rd","male",40,"Queenstown",7.75,"In company"
"No Surv","3rd","male",36,"Southampton",7.8958,"Alone"
"Surv","2nd","female",32,"Southampton",13,"Alone"
"No Surv","2nd","male",19,"Southampton",13,"Alone"
"Surv","3rd","female",19,"Southampton",7.8542,"In company"
"Surv","2nd","male",3,"Southampton",8.66666666666667,"In company"
"Surv","1st","female",44,"Cherbourg",27.7208,"Alone"
"Surv","1st","female",58,"Cherbourg",48.8402666666667,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",42,"Southampton",8.4042,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","2nd","female",24,"Southampton",13,"Alone"
"No Surv","3rd","male",28,"Southampton",9.5,"Alone"
"No Surv","3rd","male",11,"Southampton",6.32272727272727,"In company"
"No Surv","3rd","male",34,"Southampton",6.4958,"Alone"
"No Surv","3rd","male",45.5,"Cherbourg",7.225,"Alone"
"Surv","3rd","male",18,"Southampton",8.05,"Alone"
"No Surv","3rd","female",2,"Southampton",5.23125,"In company"
"No Surv","3rd","male",32,"Southampton",7.925,"In company"
"Surv","3rd","male",26,"Cherbourg",9.39375,"Alone"
"Surv","3rd","female",16,"Queenstown",7.75,"Alone"
"Surv","1st","male",40,"Cherbourg",31,"Alone"
"No Surv","3rd","male",24,"Southampton",7.05,"Alone"
"Surv","2nd","female",35,"Southampton",10.5,"Alone"
"No Surv","3rd","male",22,"Southampton",7.25,"Alone"
"No Surv","2nd","male",30,"Southampton",13,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"In company"
"Surv","1st","female",31,"Cherbourg",37.7583333333333,"In company"
"Surv","3rd","female",27,"Southampton",7.925,"Alone"
"No Surv","2nd","male",42,"Southampton",13.5,"In company"
"Surv","1st","female",32,"Cherbourg",38.14585,"Alone"
"No Surv","2nd","male",30,"Southampton",10.5,"Alone"
"Surv","3rd","male",16,"Southampton",8.05,"Alone"
"No Surv","2nd","male",27,"Southampton",13,"Alone"
"No Surv","3rd","male",51,"Southampton",8.05,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"Surv","1st","male",38,"Southampton",45,"In company"
"No Surv","3rd","male",22,"Southampton",9.35,"Alone"
"Surv","2nd","male",19,"Southampton",10.5,"Alone"
"No Surv","3rd","male",20.5,"Southampton",7.25,"Alone"
"No Surv","2nd","male",18,"Southampton",13,"Alone"
"No Surv","3rd","female",8,"Southampton",5.09334,"In company"
"Surv","1st","female",35,"Southampton",41.7375,"In company"
"No Surv","3rd","male",29,"Southampton",7.775,"Alone"
"No Surv","2nd","male",59,"Southampton",13.5,"Alone"
"Surv","3rd","female",5,"Southampton",4.48392857142857,"In company"
"No Surv","2nd","male",24,"Southampton",10.5,"Alone"
"No Surv","3rd","female",25,"Southampton",7.55,"Alone"
"No Surv","2nd","male",44,"Southampton",13,"In company"
"Surv","2nd","female",8,"Southampton",8.75,"In company"
"No Surv","2nd","male",19,"Southampton",10.5,"Alone"
"No Surv","2nd","male",33,"Southampton",12.275,"Alone"
"No Surv","3rd","female",14.5,"Cherbourg",7.2271,"In company"
"Surv","3rd","female",18,"Queenstown",7.75,"In company"
"No Surv","2nd","male",29,"Southampton",10.5,"Alone"
"No Surv","3rd","male",22,"Southampton",7.125,"Alone"
"No Surv","3rd","male",30,"Cherbourg",7.225,"Alone"
"No Surv","1st","male",44,"Queenstown",30,"In company"
"No Surv","3rd","female",25,"Southampton",7.775,"Alone"
"Surv","2nd","female",24,"Southampton",7.25,"In company"
"Surv","1st","male",37,"Southampton",26.2771,"In company"
"No Surv","2nd","male",54,"Southampton",13,"In company"
"No Surv","3rd","male",36,"Southampton",7.25,"Alone"
"No Surv","3rd","female",29,"Southampton",5.23125,"In company"
"No Surv","1st","male",62,"Southampton",26.55,"Alone"
"No Surv","3rd","male",30,"Southampton",8.05,"In company"
"No Surv","3rd","female",41,"Southampton",6.7375,"In company"
"Surv","3rd","female",29,"Cherbourg",5.08193333333333,"In company"
"Surv","1st","female",32,"Cherbourg",39.6,"Alone"
"Surv","1st","female",30,"Southampton",28.8333333333333,"Alone"
"Surv","1st","female",35,"Cherbourg",128.0823,"Alone"
"Surv","2nd","female",50,"Southampton",13,"In company"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","3rd","male",3,"Southampton",4.48392857142857,"In company"
"No Surv","1st","male",52,"Southampton",26.55,"In company"
"No Surv","1st","male",40,"Southampton",26.55,"Alone"
"No Surv","3rd","female",21,"Queenstown",7.75,"Alone"
"No Surv","2nd","male",36,"Southampton",10.5,"Alone"
"No Surv","3rd","male",16,"Southampton",5.66964285714286,"In company"
"Surv","3rd","male",25,"Southampton",7.775,"In company"
"Surv","1st","female",58,"Southampton",51.1541666666667,"In company"
"Surv","1st","female",35,"Southampton",33.908325,"Alone"
"No Surv","1st","male",41,"Southampton",15.5,"Alone"
"Surv","3rd","male",25,"Southampton",2.375,"Alone"
"Surv","2nd","female",41,"Southampton",9.75,"In company"
"No Surv","1st","male",37,"Cherbourg",29.7,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"Surv","1st","female",63,"Southampton",25.9861,"In company"
"No Surv","3rd","female",45,"Southampton",7.75,"Alone"
"No Surv","2nd","male",49,"Southampton",4.33333333333333,"Alone"
"No Surv","3rd","male",7,"Queenstown",4.85416666666667,"In company"
"Surv","3rd","female",35,"Southampton",6.75,"In company"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",28,"Southampton",7.8542,"Alone"
"No Surv","3rd","male",16,"Southampton",9.5,"Alone"
"Surv","3rd","male",19,"Southampton",8.05,"Alone"
"No Surv","1st","male",46,"Southampton",26,"Alone"
"No Surv","3rd","male",33,"Cherbourg",8.6625,"Alone"
"Surv","3rd","male",30,"Southampton",9.5,"Alone"
"No Surv","3rd","male",22,"Southampton",7.8958,"Alone"
"Surv","2nd","male",42,"Southampton",13,"Alone"
"Surv","3rd","female",22,"Queenstown",7.75,"Alone"
"Surv","1st","female",26,"Southampton",26.2833333333333,"Alone"
"Surv","1st","female",19,"Cherbourg",45.5396,"In company"
"No Surv","2nd","male",36,"Cherbourg",12.875,"Alone"
"No Surv","3rd","female",24,"Southampton",8.85,"Alone"
"No Surv","3rd","male",24,"Southampton",7.8958,"Alone"
"No Surv","1st","male",30,"Cherbourg",27.7208,"Alone"
"No Surv","3rd","male",23.5,"Cherbourg",7.2292,"Alone"
"No Surv","1st","female",2,"Southampton",25.2583333333333,"In company"
"Surv","1st","male",52,"Southampton",30.5,"Alone"
"Surv","1st","female",50,"Cherbourg",82.5069333333333,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"Surv","3rd","male",20,"Queenstown",7.75,"In company"
"No Surv","3rd","male",19,"Southampton",2.165625,"Alone"
"Surv","2nd","female",28,"Queenstown",12.35,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","1st","male",0.92,"Southampton",25.2583333333333,"In company"
"Surv","1st","female",31,"Cherbourg",27.720825,"Alone"
"Surv","1st","female",17,"Cherbourg",36.3,"In company"
"No Surv","2nd","male",30,"Cherbourg",12,"In company"
"Surv","1st","female",30,"Cherbourg",28.4646,"Alone"
"Surv","1st","female",24,"Cherbourg",27.7194333333333,"Alone"
"Surv","1st","female",18,"Cherbourg",37.4821428571429,"In company"
"No Surv","2nd","female",26,"Southampton",13,"In company"
"No Surv","3rd","male",28,"Southampton",7.8958,"Alone"
"No Surv","2nd","male",43,"Southampton",8.75,"In company"
"Surv","3rd","female",26,"Southampton",7.8542,"Alone"
"Surv","2nd","female",24,"Southampton",13,"In company"
"No Surv","2nd","male",54,"Southampton",14,"Alone"
"Surv","1st","female",31,"Southampton",41.216675,"In company"
"Surv","1st","female",40,"Cherbourg",26.9,"In company"
"No Surv","3rd","male",22,"Southampton",7.25,"Alone"
"No Surv","3rd","male",27,"Southampton",7.8958,"Alone"
"Surv","2nd","female",30,"Queenstown",12.35,"Alone"
"Surv","2nd","female",22,"Southampton",9.66666666666667,"In company"
"No Surv","3rd","male",11,"Southampton",6.32272727272727,"In company"
"Surv","1st","female",36,"Cherbourg",33.908325,"Alone"
"No Surv","3rd","male",61,"Southampton",6.2375,"Alone"
"Surv","2nd","female",36,"Southampton",13,"Alone"
"Surv","3rd","female",31,"Southampton",6.84166666666667,"In company"
"Surv","1st","female",16,"Cherbourg",28.9896,"In company"
"Surv","3rd","female",18,"Queenstown",7.75,"In company"
"No Surv","1st","male",45.5,"Southampton",28.5,"Alone"
"No Surv","1st","male",38,"Southampton",51.1541666666667,"In company"
"No Surv","3rd","male",16,"Southampton",9,"In company"
"Surv","1st","female",35,"Southampton",66.825,"In company"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","1st","male",29,"Southampton",33.3,"In company"
"Surv","1st","female",41,"Cherbourg",26.9,"Alone"
"Surv","3rd","male",45,"Southampton",8.05,"Alone"
"No Surv","1st","male",45,"Southampton",35.5,"Alone"
"Surv","2nd","male",2,"Southampton",8.66666666666667,"In company"
"Surv","1st","female",24,"Southampton",43.8333333333333,"In company"
"No Surv","2nd","male",28,"Southampton",13,"Alone"
"No Surv","2nd","male",25,"Southampton",13,"Alone"
"No Surv","2nd","male",36,"Southampton",13,"Alone"
"Surv","2nd","female",24,"Southampton",13,"Alone"
"Surv","2nd","female",40,"Southampton",13,"Alone"
"Surv","3rd","female",24,"Southampton",8.05,"In company"
"Surv","3rd","male",3,"Southampton",5.3,"In company"
"No Surv","3rd","male",42,"Southampton",8.6625,"Alone"
"No Surv","3rd","male",23,"Southampton",9.225,"Alone"
"No Surv","1st","male",47,"Southampton",35,"Alone"
"No Surv","3rd","male",15,"Cherbourg",7.2292,"In company"
"No Surv","3rd","male",25,"Southampton",8.9,"In company"
"No Surv","3rd","male",22.5,"Cherbourg",7.225,"Alone"
"No Surv","3rd","male",28,"Southampton",9.5,"Alone"
"Surv","1st","female",22,"Southampton",27.5,"In company"
"No Surv","2nd","female",38,"Southampton",13,"Alone"
"Surv","3rd","female",19,"Queenstown",7.8792,"Alone"
"Surv","3rd","female",19,"Queenstown",7.8792,"Alone"
"No Surv","3rd","male",40,"Southampton",4.65,"In company"
"No Surv","2nd","male",29,"Cherbourg",13.8604,"In company"
"No Surv","3rd","female",45,"Cherbourg",7.2271,"In company"
"No Surv","3rd","male",35,"Southampton",7.05,"Alone"
"No Surv","3rd","male",34.5,"Queenstown",7.75,"In company"
"No Surv","3rd","male",30,"Southampton",7.25,"Alone"
"Surv","1st","female",60,"Cherbourg",37.625,"In company"
"Surv","3rd","female",18,"Cherbourg",7.2292,"Alone"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"Surv","1st","female",24,"Cherbourg",34.65,"Alone"
"Surv","1st","male",25,"Cherbourg",27.72085,"In company"
"No Surv","3rd","male",18,"Southampton",6.4958,"In company"
"No Surv","3rd","male",19,"Southampton",8.05,"Alone"
"No Surv","1st","male",22,"Cherbourg",33.908325,"Alone"
"No Surv","3rd","female",3,"Southampton",4.215,"In company"
"Surv","1st","female",52,"Cherbourg",41.0854,"In company"
"Surv","3rd","female",22,"Southampton",7.25,"Alone"
"No Surv","1st","male",27,"Cherbourg",42.3,"In company"
"No Surv","3rd","male",20,"Cherbourg",4.0125,"Alone"
"No Surv","3rd","male",19,"Southampton",7.775,"Alone"
"Surv","1st","female",42,"Cherbourg",45.505,"Alone"
"Surv","3rd","female",1,"Cherbourg",5.24723333333333,"In company"
"No Surv","3rd","male",32,"Southampton",7.925,"Alone"
"Surv","1st","female",35,"Southampton",26,"In company"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","2nd","male",18,"Southampton",10.5,"Alone"
"No Surv","3rd","male",1,"Southampton",5.8625,"In company"
"Surv","2nd","female",36,"Southampton",13,"Alone"
"No Surv","3rd","male",25,"Queenstown",7.7292,"Alone"
"Surv","2nd","female",17,"Cherbourg",12,"Alone"
"Surv","1st","male",36,"Southampton",30,"In company"
"Surv","3rd","male",21,"Southampton",7.7958,"Alone"
"No Surv","3rd","male",28,"Southampton",7.925,"In company"
"Surv","1st","female",23,"Cherbourg",37.7583333333333,"In company"
"Surv","3rd","female",24,"Southampton",5.56666666666667,"In company"
"No Surv","3rd","male",22,"Southampton",7.7958,"Alone"
"No Surv","3rd","female",31,"Southampton",7.8542,"Alone"
"No Surv","2nd","male",46,"Southampton",13,"Alone"
"No Surv","2nd","male",23,"Southampton",10.5,"Alone"
"Surv","2nd","female",28,"Southampton",12.65,"Alone"
"Surv","3rd","male",39,"Southampton",7.925,"Alone"
"No Surv","3rd","male",26,"Southampton",8.05,"Alone"
"No Surv","3rd","female",21,"Southampton",9.825,"In company"
"No Surv","3rd","male",28,"Southampton",7.925,"In company"
"No Surv","3rd","female",20,"Southampton",8.6625,"Alone"
"No Surv","2nd","male",34,"Southampton",10.5,"In company"
"No Surv","3rd","male",51,"Southampton",7.75,"Alone"
"Surv","2nd","male",3,"Southampton",6.25,"In company"
"No Surv","3rd","male",21,"Southampton",7.775,"Alone"
"No Surv","3rd","female",8,"Southampton",5.09334,"In company"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","3rd","male",24,"Queenstown",6.8583,"Alone"
"Surv","1st","female",33,"Queenstown",30,"In company"
"No Surv","2nd","male",49,"Southampton",4.33333333333333,"Alone"
"Surv","3rd","male",44,"Southampton",7.925,"Alone"
"No Surv","3rd","female",23,"Southampton",8.05,"Alone"
"Surv","2nd","female",34,"Southampton",10.8333333333333,"In company"
"Surv","2nd","female",18,"Southampton",13,"In company"
"No Surv","2nd","male",30,"Southampton",13,"Alone"
"No Surv","3rd","female",10,"Southampton",8.05,"In company"
"No Surv","3rd","male",33,"Cherbourg",7.8958,"Alone"
"No Surv","3rd","male",21,"Queenstown",7.7333,"Alone"
"No Surv","3rd","male",29,"Southampton",7.875,"Alone"
"No Surv","3rd","female",28,"Southampton",4.8,"In company"
"No Surv","3rd","male",18,"Southampton",6.7375,"In company"
"No Surv","3rd","male",36,"Southampton",7.25,"Alone"
"Surv","2nd","female",28,"Southampton",13,"In company"
"Surv","2nd","female",19,"Southampton",13,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","1st","male",28,"Southampton",26.55,"Alone"
"Surv","3rd","female",24,"Southampton",8.05,"In company"
"Surv","2nd","female",42,"Southampton",13,"In company"
"No Surv","3rd","male",17,"Southampton",7.125,"Alone"
"No Surv","1st","male",50,"Southampton",27.95,"In company"
"Surv","1st","female",14,"Southampton",30,"In company"
"No Surv","3rd","female",21,"Southampton",6.875,"In company"
"Surv","2nd","female",24,"Southampton",6.25,"In company"
"No Surv","1st","male",64,"Southampton",43.8333333333333,"In company"
"No Surv","2nd","male",31,"Southampton",10.5,"Alone"
"Surv","2nd","female",45,"Southampton",8.75,"In company"
"No Surv","3rd","male",20,"Southampton",9.5,"Alone"
"No Surv","3rd","male",25,"Southampton",7.775,"In company"
"Surv","2nd","female",28,"Southampton",13,"Alone"
"Surv","3rd","male",18,"Southampton",8.1125,"Alone"
"Surv","1st","male",4,"Southampton",27.2861,"In company"
"Surv","2nd","female",13,"Southampton",9.75,"In company"
"Surv","1st","male",34,"Southampton",26.55,"Alone"
"Surv","3rd","female",5,"Cherbourg",4.814575,"In company"
"Surv","1st","male",52,"Southampton",30.5,"Alone"
"No Surv","2nd","male",36,"Southampton",6.9375,"In company"
